<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EUR000TODTOM;60;20230428;100000;0.0001000;0.0250000;0.0001000;0.0250000;92500000
EUR000TODTOM;60;20230428;110000;0.0250000;0.0277000;0.0210000;0.0277000;107700000
EUR000TODTOM;60;20230428;120000;0.0277000;0.0288000;0.0250000;0.0280000;71000000
EUR000TODTOM;60;20230428;130000;0.0280000;0.0385000;0.0260000;0.0300000;121100000
EUR000TODTOM;60;20230428;140000;0.0299000;0.0480000;0.0250000;0.0250000;178600000
EUR000TODTOM;60;20230428;150000;0.0021000;0.0400000;-0.0500000;0.0000000;18200000
EUR000TODTOM;60;20230428;160000;0.0000000;0.0491000;0.0000000;0.0491000;48200000
